tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
70003	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
70514	42.6		9.9		4.3		422.0		800		25.0		95.0
load=95.0													
71025	42.1		9.9		4.3		415.9		800		25.0		95.0
load=95.0													
71536	41.8		9.9		4.2		413.3		800		25.0		95.0
load=95.0													
72047	42.8		9.9		4.3		422.5		800		25.0		95.0
load=95.0													
72558	42.3		9.9		4.3		419.1		800		25.0		95.0
load=95.0													
73069	42.2		9.9		4.3		418.3		800		25.0		95.0
load=95.0													
73580	42.6		9.9		4.3		420.8		800		25.0		95.0
load=95.0													
74091	42.2		9.9		4.3		418.0		800		25.0		95.0
load=95.0													
74602	42.9		9.9		4.3		424.3		800		25.0		95.0
load=95.0													
75113	41.9		9.9		4.2		414.7		800		25.0		95.0
load=95.0													
75624	42.3		9.9		4.3		418.8		800		25.0		95.0
load=95.0													
76135	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
76646	42.1		9.9		4.2		417.1		800		25.0		95.0
load=95.0													
77157	41.5		9.9		4.2		410.6		800		25.0		95.0
load=95.0													
77668	42.1		9.9		4.3		415.3		800		25.0		95.0
load=95.0													
78179	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
78690	43.5		9.9		4.4		430.7		800		25.0		95.0
load=95.0													
79201	42.6		9.9		4.3		422.3		800		25.0		95.0
load=95.0													
79712	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
80223	42.5		9.9		4.3		419.9		800		25.0		95.0
load=95.0													
80734	42.6		9.9		4.3		422.6		800		25.0		95.0
load=95.0													
81245	42.5		9.9		4.3		420.9		800		25.0		95.0
load=95.0													
81756	42.3		9.9		4.3		419.6		800		25.0		95.0
load=95.0													
82267	42.6		9.9		4.3		422.3		800		25.0		95.0
load=95.0													
82778	41.6		9.9		4.2		411.2		800		25.0		95.0
load=95.0													
83289	42.1		9.9		4.2		416.5		800		25.0		95.0
load=95.0													
83800	41.8		9.9		4.2		413.3		800		25.0		95.0
load=95.0													
84311	42.5		9.9		4.3		421.8		800		25.0		95.0
load=95.0													
84822	42.3		9.9		4.3		419.1		800		25.0		95.0
load=95.0													
85333	41.8		9.9		4.2		413.6		800		25.0		95.0
load=95.0													
85844	42.5		9.9		4.3		420.6		800		25.0		95.0
load=95.0													
86355	41.8		9.9		4.2		413.3		800		25.0		95.0
load=95.0													
86866	42.8		9.9		4.3		424.1		800		25.0		95.0
load=95.0													
87377	42.6		9.9		4.3		421.7		800		25.0		95.0
load=95.0													
87888	42.5		9.9		4.3		421.2		800		25.0		95.0
load=95.0													
88399	42.3		9.9		4.3		419.7		800		25.0		95.0
load=95.0													
88910	42.5		9.9		4.3		420.9		800		25.0		95.0
load=95.0													
89421	43.2		9.9		4.4		428.4		800		25.0		95.0
load=95.0													
89932	41.9		9.9		4.2		414.7		800		25.0		95.0
load=95.0													
90443	43.1		9.9		4.4		425.4		800		25.0		95.0
load=95.0													
90954	42.6		9.9		4.3		422.1		800		25.0		95.0
load=95.0													
91465	41.5		9.9		4.2		410.4		800		25.0		95.0
load=95.0													
91976	42.1		9.9		4.2		416.2		800		25.0		95.0
load=95.0													
92487	42.1		9.9		4.2		416.2		800		25.0		95.0
load=95.0													
92998	41.6		9.9		4.2		412.8		800		25.0		95.0
load=95.0													
93509	41.8		9.9		4.2		413.0		800		25.0		95.0
load=95.0													
94020	42.9		9.9		4.3		424.9		800		25.0		95.0
load=95.0													
94531	42.1		9.9		4.2		416.5		800		25.0		95.0
load=95.0													
95042	41.6		9.9		4.2		412.5		800		25.0		95.0
load=95.0													
95553	42.6		9.9		4.3		421.7		800		25.0		95.0
load=95.0													
96064	43.1		9.9		4.3		427.3		800		25.0		95.0
load=95.0													
96575	42.6		9.9		4.3		421.7		800		25.0		95.0
load=95.0													
97086	42.3		9.9		4.3		418.8		800		25.0		95.0
load=95.0													
97597	42.6		9.9		4.3		422.3		800		25.0		95.0
load=95.0													
98108	41.8		9.9		4.2		413.0		800		25.0		95.0
load=95.0													
98619	42.9		9.9		4.3		425.2		800		25.0		95.0
load=95.0													
99130	43.2		9.9		4.4		428.4		800		25.0		95.0
load=95.0													
99641	42.2		9.9		4.3		417.0		800		25.0		95.0
load=95.0													
100152	42.1		9.9		4.2		417.1		800		25.0		95.0
load=95.0													
100663	41.6		9.9		4.2		410.9		800		25.0		95.0
load=95.0													
101174	43.4		9.9		4.4		428.6		800		25.0		95.0
load=95.0													
101685	42.3		9.9		4.3		420.0		800		25.0		95.0
load=95.0													
102196	41.9		9.9		4.2		415.4		800		25.0		95.0
load=95.0													
102707	42.0		9.9		4.2		415.0		800		25.0		95.0
load=95.0													
103218	42.3		9.9		4.3		419.4		800		25.0		95.0
load=95.0													
103729	42.5		9.9		4.3		421.2		800		25.0		95.0
load=95.0													
104240	42.2		9.9		4.3		417.0		800		25.0		95.0
load=95.0													
104751	42.5		9.9		4.3		420.2		800		25.0		95.0
load=95.0													
105262	42.2		9.9		4.3		418.0		800		25.0		95.0
load=95.0													
105773	42.6		9.9		4.3		421.7		800		25.0		95.0
load=95.0													
106284	41.9		9.9		4.2		414.4		800		25.0		95.0
load=95.0													
106795	42.1		9.9		4.2		416.5		800		25.0		95.0
load=95.0													
107306	42.4		9.9		4.3		419.7		800		25.0		95.0
load=95.0													
107817	41.5		9.9		4.2		410.4		800		25.0		95.0
load=95.0													
108328	43.2		9.9		4.4		427.8		800		25.0		95.0
load=95.0													
108839	42.3		9.9		4.3		418.8		800		25.0		95.0
load=95.0													
109350	42.3		9.9		4.3		419.4		800		25.0		95.0
load=95.0													
109861	41.9		9.9		4.2		415.1		800		25.0		95.0
load=95.0													
110372	42.5		9.9		4.3		421.2		800		25.0		95.0
load=95.0													
110883	42.2		9.9		4.3		418.3		800		25.0		95.0
load=95.0													
111394	42.5		9.9		4.3		421.5		800		25.0		95.0
load=95.0													
111905	42.3		9.9		4.3		419.0		800		25.0		95.0
load=95.0													
112416	42.9		9.9		4.3		424.6		800		25.0		95.0
load=95.0													
112927	42.5		9.9		4.3		419.3		800		25.0		95.0
